Ammo Description,CARTRIDGE,BULLET,BULLET,BULLET,ITEM #,B.C.,Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),GEE,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory
PH,25-06 Rem,110 gr. ELD-X,110.0,7.1,8143,0.465,957.0,922.0,888.0,854.0,821.0,789.0,758.0,3265.0,3031.0,2811.0,2602.0,2405.0,2220.0,2046.0,-5.0,-1.1,0.0,-2.1,-7.5,-16.5,-29.5,205.0,-5.0,0.9,4.0,3.9,0.5,-6.5,-17.5
SF,25-06 Rem,117 gr. SST,117.0,7.6,81453,0.39,948.0,907.0,866.0,827.0,788.0,751.0,714.0,3407.0,3116.0,2845.0,2592.0,2356.0,2137.0,1933.0,-5.0,-1.0,0.0,-2.3,-8.1,-17.9,-32.1,199.0,-5.0,1.0,4.0,3.7,-0.1,-7.9,-20.1
AW,25-06 Rem,117 gr. InterLock BTSP,117.0,7.6,8144,0.391,911.0,871.0,832.0,793.0,756.0,719.0,683.0,3149.0,2877.0,2622.0,2385.0,2165.0,1960.0,1770.0,-5.0,-0.9,0.0,-2.7,-9.2,-20.1,-35.7,190.0,-5.0,1.1,4.0,3.3,-1.2,-10.1,-23.7
O,257 Wby Mag,90 gr. CX,90.0,5.8,813624,0.273,1105.0,1041.0,979.0,919.0,861.0,804.0,750.0,3560.0,3160.0,2795.0,2462.0,2160.0,1887.0,1640.0,-5.0,-1.4,0.0,-1.2,-5.3,-12.7,-23.9,229.0,-5.0,0.6,4.0,4.8,2.7,-2.7,-11.9
PH,257 Wby Mag,110 gr. ELD-X,110.0,7.1,81364,0.465,988.0,952.0,917.0,883.0,850.0,817.0,784.0,3476.0,3231.0,2999.0,2780.0,2572.0,2377.0,2193.0,-5.0,-1.1,0.0,-1.8,-6.7,-15.0,-27.0,213.0,-5.0,0.9,4.0,4.2,1.3,-5.0,-15.0
B,6.5 Grendel,123 gr. ELD Match,123.0,8.0,81528,0.506,786.0,758.0,729.0,702.0,675.0,648.0,622.0,2465.0,2288.0,2120.0,1963.0,1814.0,1673.0,1541.0,-5.0,-0.4,0.0,-4.2,-13.5,-28.1,-48.6,166.0,-5.0,1.6,4.0,1.8,-5.5,-18.1,-36.6
C,6.5 Grendel,123 gr. SST,123.0,8.0,8152,0.506,786.0,758.0,729.0,702.0,675.0,648.0,622.0,2465.0,2288.0,2120.0,1963.0,1814.0,1673.0,1541.0,-5.0,-0.4,0.0,-4.2,-13.5,-28.1,-48.6,166.0,-5.0,1.6,4.0,1.8,-5.5,-18.1,-36.6
VM,6 M .5 a u x s 5 e 5 r mm Swedish,140 gr. BTHP,140.0,9.1,85508,0.58,792.0,767.0,742.0,718.0,694.0,670.0,647.0,2849.0,2671.0,2501.0,2339.0,2185.0,2039.0,1900.0,-5.0,-0.4,0.0,-4.0,-12.8,-26.7,-46.0,169.0,-5.0,1.6,4.0,2.0,-4.8,-16.7,-34.0
SF,6 M .5 a u x s 5 e 5 r mm Swedish,140 gr. SST,140.0,9.1,85507,0.52,834.0,805.0,776.0,748.0,721.0,694.0,668.0,3153.0,2938.0,2734.0,2541.0,2359.0,2186.0,2023.0,-5.0,-0.6,0.0,-3.5,-11.3,-23.9,-41.5,177.0,-5.0,1.4,4.0,2.5,-3.3,-13.9,-29.5
SF,260 Rem,129 gr. SST,129.0,8.4,8552,0.485,893.0,861.0,829.0,798.0,768.0,738.0,709.0,3334.0,3098.0,2875.0,2664.0,2465.0,2277.0,2100.0,-5.0,-0.8,0.0,-2.7,-9.3,-20.0,-35.3,190.0,-5.0,1.2,4.0,3.3,-1.3,-10.0,-23.3
M,260 Rem,130 gr. ELD Match,130.0,8.4,8553,0.554,866.0,838.0,811.0,784.0,757.0,732.0,706.0,3156.0,2958.0,2768.0,2588.0,2417.0,2254.0,2100.0,-5.0,-0.8,0.0,-3.0,-9.9,-21.2,-37.0,185.0,-5.0,1.2,4.0,3.0,-1.9,-11.2,-25.0
V,6.5 Creedmoor,95 gr. V-MAX,95.0,6.2,81481,0.365,1006.0,960.0,916.0,872.0,830.0,789.0,748.0,3114.0,2839.0,2582.0,2343.0,2121.0,1915.0,1724.0,-5.0,-1.2,0.0,-1.8,-6.7,-15.3,-27.8,212.0,-5.0,0.8,4.0,4.2,1.3,-5.3,-15.8
O,6.5 Creedmoor,120 gr. CX,120.0,7.8,814874,0.428,892.0,855.0,820.0,785.0,751.0,717.0,685.0,3091.0,2844.0,2611.0,2394.0,2190.0,2000.0,1822.0,-5.0,-0.8,0.0,-2.8,-9.6,-20.8,-36.8,187.0,-5.0,1.2,4.0,3.2,-1.6,-10.8,-24.8
SF,6.5 Creedmoor,120 gr. CX,120.0,7.8,814904,0.428,930.0,892.0,856.0,820.0,785.0,751.0,718.0,3360.0,3097.0,2849.0,2616.0,2398.0,2193.0,2002.0,-5.0,-1.0,0.0,-2.4,-8.4,-18.4,-32.8,196.0,-5.0,1.0,4.0,3.6,-0.4,-8.4,-20.8
M,6.5 Creedmoor,120 gr. ELD Match,120.0,7.8,81491,0.486,887.0,855.0,824.0,793.0,763.0,733.0,704.0,3059.0,2842.0,2637.0,2444.0,2261.0,2088.0,1926.0,-5.0,-0.8,0.0,-2.8,-9.5,-20.4,-35.9,188.0,-5.0,1.2,4.0,3.2,-1.5,-10.4,-23.9
SF,6.5 Creedmoor,129 gr. SST,129.0,8.4,81496,0.485,899.0,867.0,835.0,804.0,773.0,744.0,714.0,3380.0,3141.0,2915.0,2702.0,2501.0,2311.0,2132.0,-5.0,-0.9,0.0,-2.6,-9.1,-19.6,-34.6,191.0,-5.0,1.1,4.0,3.4,-1.1,-9.6,-22.6
AW,6.5 Creedmoor,129 gr. InterLock,129.0,8.4,81489,0.445,860.0,825.0,792.0,759.0,726.0,695.0,664.0,3088.0,2847.0,2619.0,2406.0,2206.0,2019.0,1844.0,-5.0,-0.7,0.0,-3.2,-10.7,-22.8,-40.0,180.0,-5.0,1.3,4.0,2.8,-2.7,-12.8,-28.0
CI,6.5 Creedmoor,140 gr. InterLock SP,140.0,9.1,81502,0.465,823.0,791.0,759.0,729.0,699.0,669.0,640.0,3072.0,2838.0,2617.0,2409.0,2213.0,2030.0,1859.0,-5.0,-0.5,0.0,-3.7,-12.0,-25.4,-44.3,173.0,-5.0,1.5,4.0,2.3,-4.0,-15.4,-32.3
M,6.5 Creedmoor,140 gr. ELD Match,140.0,9.1,81500,0.646,826.0,803.0,780.0,757.0,735.0,713.0,692.0,3095.0,2924.0,2760.0,2602.0,2452.0,2308.0,2171.0,-5.0,-0.6,0.0,-3.4,-11.1,-23.4,-40.5,177.0,-5.0,1.4,4.0,2.6,-3.1,-13.4,-28.5
AG,6.5 Creedmoor,140 gr. BTHP,140.0,9.1,81482,0.58,820.0,794.0,769.0,744.0,720.0,695.0,672.0,3050.0,2861.0,2682.0,2511.0,2349.0,2194.0,2047.0,-5.0,-0.6,0.0,-3.6,-11.6,-24.4,-42.2,175.0,-5.0,1.4,4.0,2.4,-3.6,-14.4,-30.2
PH,6.5 Creedmoor,143 gr. ELD-X,143.0,9.3,81499,0.623,823.0,799.0,775.0,752.0,729.0,707.0,684.0,3138.0,2958.0,2785.0,2621.0,2463.0,2313.0,2170.0,-5.0,-0.6,0.0,-3.5,-11.3,-23.8,-41.2,176.0,-5.0,1.4,4.0,2.5,-3.3,-13.8,-29.2
M,6.5 Creedmoor,147 gr. ELD Match,147.0,9.5,81501,0.697,821.0,800.0,779.0,758.0,737.0,717.0,697.0,3214.0,3048.0,2889.0,2737.0,2590.0,2449.0,2314.0,-5.0,-0.6,0.0,-3.5,-11.2,-23.4,-40.4,177.0,-5.0,1.4,4.0,2.5,-3.2,-13.4,-28.4
O,6.5 PRC,130 gr. CX,130.0,8.4,81622,0.489,907.0,875.0,843.0,812.0,781.0,752.0,722.0,3464.0,3222.0,2993.0,2777.0,2573.0,2380.0,2198.0,-5.0,-0.9,0.0,-2.6,-8.8,-19.1,-33.8,193.0,-5.0,1.1,4.0,3.4,-0.8,-9.1,-21.8
PH,6.5 PRC,143 gr. ELD-X,143.0,9.3,81621,0.623,902.0,877.0,852.0,828.0,803.0,780.0,756.0,3772.0,3564.0,3364.0,3173.0,2991.0,2816.0,2649.0,-5.0,-0.9,0.0,-2.5,-8.5,-18.4,-32.3,195.0,-5.0,1.1,4.0,3.5,-0.5,-8.4,-20.3
M,6.5 PRC,147 gr. ELD Match,147.0,9.5,81620,0.697,887.0,865.0,843.0,821.0,799.0,778.0,757.0,3747.0,3561.0,3381.0,3208.0,3042.0,2883.0,2730.0,-5.0,-0.9,0.0,-2.6,-8.8,-18.9,-33.0,193.0,-5.0,1.1,4.0,3.4,-0.8,-8.9,-21.0
C,264 Win Mag,140 gr. InterLock SP,140.0,9.1,8154,0.465,895.0,861.0,828.0,796.0,764.0,733.0,703.0,3631.0,3363.0,3111.0,2873.0,2649.0,2438.0,2240.0,-5.0,-0.8,0.0,-2.7,-9.3,-20.1,-35.5,189.0,-5.0,1.2,4.0,3.3,-1.3,-10.1,-23.5
C,6.8mm SPC,100 gr. CX,100.0,6.5,834814,0.262,777.0,723.0,670.0,619.0,570.0,524.0,479.0,1958.0,1692.0,1454.0,1242.0,1054.0,889.0,743.0,-5.0,-0.1,0.0,-5.3,-17.1,-36.4,-64.6,155.0,-5.0,1.9,4.0,0.7,-9.1,-26.4,-52.6
B,6.8mm SPC,"110 gr. V-MAX (16"" Bbl)",110.0,7.1,83464,0.37,785.0,746.0,708.0,670.0,634.0,599.0,565.0,2196.0,1982.0,1784.0,1602.0,1434.0,1279.0,1138.0,-5.0,-0.3,0.0,-4.6,-14.7,-30.8,-53.9,162.0,-5.0,1.7,4.0,1.4,-6.7,-20.8,-41.9
C,6.8mm SPC,"120 gr. SST (16"" Bbl)",120.0,7.8,8347,0.4,750.0,714.0,680.0,646.0,614.0,582.0,551.0,2186.0,1985.0,1798.0,1624.0,1464.0,1315.0,1179.0,-5.0,-0.1,0.0,-5.2,-16.3,-33.9,-58.8,156.0,-5.0,1.9,4.0,0.8,-8.3,-23.9,-46.8
O,270 Win,130 gr. CX,130.0,8.4,805294,0.265,914.0,855.0,798.0,743.0,689.0,638.0,589.0,3522.0,3081.0,2682.0,2323.0,2002.0,1715.0,1460.0,-5.0,-0.8,0.0,-3.0,-10.5,-23.2,-41.9,182.0,-5.0,1.2,4.0,3.0,-2.5,-13.2,-29.9
SF,270 Win,130 gr. CX,130.0,8.4,80524,0.403,972.0,932.0,892.0,853.0,815.0,778.0,742.0,3982.0,3657.0,3353.0,3067.0,2801.0,2552.0,2320.0,-5.0,-1.1,0.0,-2.0,-7.4,-16.4,-29.5,206.0,-5.0,0.9,4.0,4.0,0.6,-6.4,-17.5
SF,270 Win,130 gr. SST,130.0,8.4,80543,0.46,975.0,940.0,905.0,871.0,837.0,804.0,772.0,4007.0,3720.0,3449.0,3192.0,2950.0,2722.0,2508.0,-5.0,-1.1,0.0,-1.9,-7.0,-15.6,-28.1,210.0,-5.0,0.9,4.0,4.1,1.0,-5.6,-16.1
AW,270 Win,130 gr. InterLock SP,130.0,8.4,8053,0.462,933.0,898.0,864.0,831.0,798.0,766.0,735.0,3664.0,3398.0,3146.0,2908.0,2684.0,2473.0,2275.0,-5.0,-1.0,0.0,-2.3,-8.2,-17.9,-31.8,199.0,-5.0,1.0,4.0,3.7,-0.2,-7.9,-19.8
SF,270 Win,140 gr. SST,140.0,9.1,80563,0.495,942.0,909.0,877.0,846.0,815.0,785.0,755.0,4024.0,3751.0,3493.0,3248.0,3016.0,2796.0,2589.0,-5.0,-1.0,0.0,-2.2,-7.8,-17.0,-30.3,202.0,-5.0,1.0,4.0,3.8,0.2,-7.0,-18.3
PH,270 Win,145 gr. ELD-X,145.0,9.4,80536,0.536,905.0,876.0,847.0,819.0,791.0,763.0,736.0,3850.0,3605.0,3371.0,3149.0,2937.0,2737.0,2547.0,-5.0,-0.9,0.0,-2.5,-8.7,-18.8,-33.1,194.0,-5.0,1.1,4.0,3.5,-0.7,-8.8,-21.1
O,270 WSM,130 gr. CX,130.0,8.4,805574,0.403,960.0,920.0,880.0,842.0,804.0,768.0,732.0,3883.0,3564.0,3266.0,2986.0,2725.0,2481.0,2255.0,-5.0,-1.1,0.0,-2.1,-7.7,-17.1,-30.6,203.0,-5.0,0.9,4.0,3.9,0.3,-7.1,-18.6
PH,270 WSM,145 gr. ELD-X,145.0,9.4,80558,0.536,945.0,915.0,885.0,856.0,828.0,799.0,772.0,4195.0,3932.0,3682.0,3444.0,3217.0,3002.0,2798.0,-5.0,-1.0,0.0,-2.1,-7.5,-16.6,-29.4,204.0,-5.0,1.0,4.0,3.9,0.5,-6.6,-17.4
C,275 Rigby,140 gr. InterLock SP,140.0,9.1,8070,0.392,817.0,779.0,742.0,706.0,671.0,637.0,603.0,3027.0,2753.0,2499.0,2262.0,2042.0,1839.0,1652.0,-5.0,-0.5,0.0,-4.0,-12.9,-27.2,-47.6,169.0,-5.0,1.5,4.0,2.0,-4.9,-17.2,-35.6
CL,7mm-08 Rem,120 gr. SST,120.0,7.8,80572,0.365,815.0,775.0,735.0,697.0,659.0,623.0,588.0,2585.0,2334.0,2102.0,1888.0,1691.0,1509.0,1343.0,-5.0,-0.5,0.0,-4.1,-13.2,-28.0,-49.1,168.0,-5.0,1.5,4.0,1.9,-5.2,-18.0,-37.1
SF,7mm-08 Rem,139 gr. CX,139.0,9.0,805764,0.429,887.0,851.0,815.0,781.0,747.0,713.0,681.0,3543.0,3260.0,2994.0,2745.0,2511.0,2293.0,2089.0,-5.0,-0.8,0.0,-2.9,-9.8,-21.1,-37.2,186.0,-5.0,1.2,4.0,3.1,-1.8,-11.1,-25.2
SF,7mm-08 Rem,139 gr. SST,139.0,9.0,80573,0.486,899.0,867.0,835.0,804.0,774.0,744.0,715.0,3642.0,3385.0,3142.0,2913.0,2696.0,2492.0,2300.0,-5.0,-0.9,0.0,-2.6,-9.1,-19.6,-34.6,191.0,-5.0,1.1,4.0,3.4,-1.1,-9.6,-22.6
AW,7mm-08 Rem,139 gr. InterLock SP,139.0,9.0,8057,0.392,866.0,827.0,788.0,751.0,715.0,679.0,645.0,3375.0,3077.0,2800.0,2542.0,2302.0,2079.0,1873.0,-5.0,-0.7,0.0,-3.2,-10.8,-23.2,-40.9,180.0,-5.0,1.3,4.0,2.8,-2.8,-13.2,-28.9
PH,7mm-08 Rem,150 gr. ELD-X,150.0,9.7,85578,0.574,844.0,818.0,792.0,766.0,741.0,716.0,692.0,3465.0,3251.0,3048.0,2855.0,2670.0,2495.0,2329.0,-5.0,-0.7,0.0,-3.2,-10.7,-22.5,-39.2,180.0,-5.0,1.3,4.0,2.8,-2.7,-12.5,-27.2
PH,280 Rem,150 gr. ELD-X,150.0,9.7,81587,0.574,892.0,864.0,838.0,811.0,785.0,760.0,735.0,3863.0,3631.0,3410.0,3198.0,2997.0,2805.0,2623.0,-5.0,-0.9,0.0,-2.6,-9.0,-19.3,-33.9,192.0,-5.0,1.1,4.0,3.4,-1.0,-9.3,-21.9
PH,280 Ackley Imp,162 gr. ELD-X,162.0,10.5,85586,0.631,869.0,844.0,820.0,796.0,773.0,750.0,727.0,3961.0,3742.0,3531.0,3330.0,3138.0,2954.0,2778.0,-5.0,-0.8,0.0,-2.9,-9.6,-20.4,-35.6,187.0,-5.0,1.2,4.0,3.1,-1.6,-10.4,-23.6
AW,7mm Rem Mag,139 gr. InterLock SP,139.0,9.0,80591,0.453,960.0,924.0,889.0,855.0,821.0,788.0,755.0,4152.0,3848.0,3561.0,3290.0,3035.0,2795.0,2569.0,-5.0,-1.1,0.0,-2.0,-7.4,-16.5,-29.5,205.0,-5.0,0.9,4.0,4.0,0.6,-6.5,-17.5
SF,7mm Rem Mag,139 gr. SST,139.0,9.0,80593,0.486,988.0,954.0,920.0,887.0,855.0,824.0,793.0,4393.0,4096.0,3814.0,3547.0,3295.0,3056.0,2830.0,-5.0,-1.2,0.0,-1.7,-6.6,-14.8,-26.6,214.0,-5.0,0.8,4.0,4.3,1.4,-4.8,-14.6
O,7mm Rem Mag,150 gr. CX,150.0,9.7,806114,0.455,914.0,880.0,846.0,812.0,779.0,747.0,716.0,4064.0,3761.0,3475.0,3206.0,2953.0,2715.0,2492.0,-5.0,-0.9,0.0,-2.5,-8.8,-19.0,-33.7,194.0,-5.0,1.1,4.0,3.5,-0.8,-9.0,-21.7
AW,7mm Rem Mag,154 gr. InterLock SP,154.0,10.0,80590,0.433,925.0,888.0,852.0,817.0,783.0,749.0,716.0,4270.0,3938.0,3626.0,3332.0,3057.0,2799.0,2558.0,-5.0,-0.9,0.0,-2.4,-8.5,-18.6,-33.1,195.0,-5.0,1.1,4.0,3.6,-0.5,-8.6,-21.1
SF,7mm Rem Mag,154 gr. SST,154.0,10.0,8061,0.525,945.0,914.0,884.0,854.0,825.0,796.0,768.0,4455.0,4170.0,3900.0,3642.0,3398.0,3166.0,2946.0,-5.0,-1.0,0.0,-2.1,-7.6,-16.6,-29.6,204.0,-5.0,1.0,4.0,3.9,0.4,-6.6,-17.6
SF,7mm Rem Mag,162 gr. SST,162.0,10.5,80633,0.55,924.0,895.0,866.0,838.0,811.0,783.0,757.0,4477.0,4201.0,3938.0,3687.0,3449.0,3222.0,3007.0,-5.0,-1.0,0.0,-2.3,-8.1,-17.6,-31.1,199.0,-5.0,1.0,4.0,3.7,-0.1,-7.6,-19.1
PH,7mm Rem Mag,162 gr. ELD-X,162.0,10.5,80636,0.631,896.0,871.0,847.0,823.0,799.0,775.0,752.0,4215.0,3985.0,3764.0,3553.0,3350.0,3156.0,2971.0,-5.0,-0.9,0.0,-2.5,-8.7,-18.7,-32.8,194.0,-5.0,1.1,4.0,3.5,-0.7,-8.7,-20.8
O,7mm WSM,150 gr. CX,150.0,9.7,805514,0.455,930.0,895.0,860.0,826.0,793.0,761.0,729.0,4201.0,3890.0,3597.0,3320.0,3060.0,2816.0,2586.0,-5.0,-1.0,0.0,-2.3,-8.3,-18.1,-32.2,198.0,-5.0,1.0,4.0,3.7,-0.3,-8.1,-20.2
PH,7mm WSM,162 gr. ELD-X,162.0,10.5,80552,0.631,914.0,889.0,865.0,840.0,816.0,792.0,769.0,4389.0,4151.0,3923.0,3705.0,3496.0,3295.0,3104.0,-5.0,-0.9,0.0,-2.3,-8.1,-17.6,-31.0,199.0,-5.0,1.1,4.0,3.7,-0.1,-7.6,-19.0
LEV,7-30 Waters,120 gr. FTX,120.0,7.8,81569,0.32,823.0,777.0,732.0,688.0,645.0,604.0,565.0,2633.0,2345.0,2081.0,1840.0,1620.0,1421.0,1240.0,-5.0,-0.5,0.0,-4.1,-13.4,-28.6,-50.6,167.0,-5.0,1.5,4.0,1.9,-5.4,-18.6,-38.6
PH,28 Nosler,162 gr. ELD-X,162.0,10.5,8069,0.631,968.0,942.0,916.0,891.0,866.0,842.0,818.0,4916.0,4656.0,4407.0,4168.0,3939.0,3719.0,3508.0,-5.0,-1.1,0.0,-1.8,-6.7,-14.9,-26.5,213.0,-5.0,0.9,4.0,4.2,1.3,-4.9,-14.5
PH,7mm STW,162 gr. ELD-X,162.0,10.5,80851,0.631,930.0,904.0,879.0,855.0,830.0,806.0,783.0,4537.0,4293.0,4059.0,3834.0,3619.0,3414.0,3217.0,-5.0,-1.0,0.0,-2.2,-7.7,-16.8,-29.6,203.0,-5.0,1.0,4.0,3.8,0.3,-6.8,-17.6
CD,30 Carbine,"110 gr. FTX (20"" Bbl)",110.0,7.1,81030,0.178,610.0,540.0,475.0,413.0,356.0,304.0,255.0,1325.0,1039.0,803.0,609.0,453.0,329.0,232.0,-5.0,1.7,0.0,-12.7,-39.8,-86.3,-159.3,126.0,-5.0,3.7,4.0,-6.7,-31.8,-76.3,-147.3
C,300 Blackout,"110 gr. CX (16"" Bbl)",110.0,7.1,808794,0.312,696.0,653.0,611.0,571.0,531.0,494.0,457.0,1729.0,1520.0,1331.0,1161.0,1007.0,869.0,745.0,-5.0,0.4,0.0,-7.0,-21.4,-44.6,-77.9,144.0,-5.0,2.4,4.0,-1.0,-13.4,-34.6,-65.9
B,300 Blackout,"110 gr. V-MAX (16"" Bbl)",110.0,7.1,80873,0.29,724.0,676.0,630.0,586.0,543.0,502.0,463.0,1868.0,1630.0,1416.0,1224.0,1052.0,899.0,763.0,-5.0,0.2,0.0,-6.4,-19.9,-41.7,-73.3,148.0,-5.0,2.2,4.0,-0.4,-11.9,-31.7,-61.3
AG,300 Blackout,"125 gr. HP (16"" Bbl)",125.0,8.1,80897,0.32,663.0,622.0,582.0,544.0,506.0,470.0,436.0,1780.0,1566.0,1372.0,1197.0,1038.0,897.0,770.0,-5.0,0.7,0.0,-7.9,-24.2,-50.0,-86.9,139.0,-5.0,2.7,4.0,-1.9,-16.2,-40.0,-74.9
C,300 Blackout,"135 gr. FTX (16"" Bbl)",135.0,8.7,80881,0.274,636.0,589.0,544.0,501.0,459.0,419.0,382.0,1767.0,1516.0,1293.0,1096.0,922.0,770.0,637.0,-5.0,1.0,0.0,-9.4,-28.5,-59.4,-104.1,134.0,-5.0,3.0,4.0,-3.4,-20.5,-49.4,-92.1
SUB,300 Blackout,"190 gr. SUB-X (16"" Bbl)",190.0,12.3,80877,0.437,320.0,311.0,303.0,295.0,289.0,,,630.0,595.0,564.0,537.0,513.0,,,-5.0,10.3,0.0,-37.2,-103.5,,,108.0,-5.0,12.3,4.0,-31.5,-95.9,,
LEV,30-30 Win,140 gr. MonoFlex,140.0,9.1,82736,0.295,770.0,721.0,674.0,629.0,585.0,543.0,503.0,2687.0,2360.0,2063.0,1795.0,1555.0,1339.0,1146.0,-5.0,-0.1,0.0,-5.3,-16.7,-35.4,-62.3,156.0,-5.0,1.9,4.0,0.7,-8.7,-25.4,-50.3
AW,30-30 Win,150 gr. RN,150.0,9.7,80801,0.186,728.0,655.0,585.0,519.0,457.0,399.0,345.0,2579.0,2084.0,1663.0,1309.0,1016.0,774.0,579.0,-5.0,0.4,0.0,-7.6,-24.3,-52.8,-96.7,141.0,-5.0,2.4,4.0,-1.6,-16.3,-42.8,-84.7
